ID;Nombre;Edad;Género;Ciudad;Comentario;Categoría del problema;Nivel de urgencia;Fecha del reporte;Acceso a internet;Atención previa del gobierno;Zona rural
65;Ana;300;M;Bogotá;queremos más presencia policial.;Seguridad;No urgente;15/11/2024;0;0;1
66;Sofía;380;Otro;Manizales;no tenemos centros culturales ni bibliotecas.;Seguridad;No urgente;19/06/2023;1;1;0
67;Sofía;690;M;Manizales;necesitamos más acceso a internet en la zona.;Seguridad;No urgente;03/04/2024;0;0;1
68;Valentina;;M;Medellín;no hay suficientes escuelas públicas.;Educación;Urgente;26/07/2023;1;1;0
69;Camilo;270;F;Cali;las basuras no se recogen a tiempo.;Seguridad;Urgente;03/01/2023;0;0;1
70;María;660;M;Manizales;hay problemas con la recolección de basura.;Medio Ambiente;Urgente;22/02/2023;1;0;1
71;Jorge;220;Otro;Barranquilla;;Salud;Urgente;15/02/2024;1;1;0
72;Sofía;190;F;Pereira;necesitamos más acceso a internet en la zona.;Medio Ambiente;Urgente;23/09/2024;0;0;0
73;Sofía;320;Otro;Cali;la contaminación del río está aumentando.;Salud;Urgente;07/10/2024;0;0;1
74;Juan;380;F;Cartagena;necesitamos más acceso a internet en la zona.;Medio Ambiente;No urgente;25/11/2024;1;1;1
75;Valentina;280;F;Cartagena;hay problemas con la recolección de basura.;Educación;No urgente;14/04/2024;1;1;1
76;Valentina;240;Otro;Cúcuta;la contaminación del río está aumentando.;Seguridad;Urgente;23/05/2024;1;1;0
77;Valentina;220;;Bogotá;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;25/01/2023;0;1;1
78;Sofía;;M;Manizales;no tenemos centros culturales ni bibliotecas.;Seguridad;No urgente;05/11/2023;0;0;0
79;Laura;300;F;Cali;necesitamos más acceso a internet en la zona.;Educación;Urgente;15/03/2023;1;0;1
80;Valentina;250;Otro;Santa Marta;las calles están muy oscuras y peligrosas.;Seguridad;Urgente;12/07/2024;1;0;1
81;Juan;210;M;Bogotá;;Medio Ambiente;Urgente;17/08/2024;0;1;1
82;Juan;190;F;Cali;la contaminación del río está aumentando.;Seguridad;Urgente;29/05/2023;0;0;0
83;Camilo;580;Otro;Manizales;la contaminación del río está aumentando.;Medio Ambiente;Urgente;09/10/2023;1;0;1
84;Laura;760;F;Santa Marta;la contaminación del río está aumentando.;Salud;Urgente;03/09/2024;1;1;0
85;Camilo;160;Otro;Cali;faltan médicos en el centro de salud.;Salud;No urgente;05/05/2024;1;1;0
86;Juan;380;M;Bogotá;necesitamos más acceso a internet en la zona.;Educación;No urgente;21/04/2024;0;1;1
87;Sofía;750;M;Barranquilla;;Salud;No urgente;28/07/2023;0;1;1
88;Pedro;580;Otro;Cúcuta;la contaminación del río está aumentando.;Medio Ambiente;No urgente;04/06/2023;1;0;1
89;Camilo;610;M;Cúcuta;las basuras no se recogen a tiempo.;Seguridad;Urgente;27/07/2024;0;0;0
90;Laura;600;F;Cali;faltan médicos en el centro de salud.;Medio Ambiente;No urgente;24/10/2023;0;1;1
91;Jorge;660;F;Manizales;no hay suficientes escuelas públicas.;Seguridad;Urgente;30/10/2023;0;1;1
92;Juan;;M;Bogotá;faltan médicos en el centro de salud.;Seguridad;Urgente;12/07/2023;0;0;1
93;Sofía;250;M;Medellín;faltan médicos en el centro de salud.;Seguridad;No urgente;25/02/2024;0;1;0
94;Carlos;;F;Medellín;queremos más presencia policial.;Seguridad;No urgente;09/11/2024;1;1;1
95;Jorge;200;Otro;Cali;la contaminación del río está aumentando.;Educación;No urgente;24/07/2023;0;1;0
96;Juan;310;M;Cartagena;queremos más presencia policial.;Seguridad;Urgente;10/07/2024;1;0;0
97;Valentina;720;F;Medellín;falta agua potable en varias casas.;Medio Ambiente;Urgente;25/08/2023;1;0;0
98;Carlos;660;Otro;Manizales;hay problemas con la recolección de basura.;Medio Ambiente;Urgente;23/01/2023;0;1;0
99;Jorge;670;Otro;Medellín;faltan médicos en el centro de salud.;Salud;No urgente;17/01/2024;1;0;1
100;Sofía;;F;Cartagena;queremos más presencia policial.;Salud;Urgente;17/08/2024;0;0;1
101;Valentina;360;Otro;Cartagena;faltan médicos en el centro de salud.;Seguridad;Urgente;25/09/2024;0;0;0
102;María;510;M;Barranquilla;no tenemos centros culturales ni bibliotecas.;Educación;No urgente;03/03/2024;1;0;1
103;Jorge;270;F;Manizales;la contaminación del río está aumentando.;Medio Ambiente;No urgente;23/05/2024;0;1;0
104;Jorge;440;Otro;Cúcuta;las calles están muy oscuras y peligrosas.;Seguridad;No urgente;23/02/2023;1;0;0
105;Sofía;500;F;Cúcuta;la contaminación del río está aumentando.;Educación;No urgente;16/03/2024;1;0;0
106;Ana;190;F;Medellín;faltan médicos en el centro de salud.;Salud;Urgente;07/09/2023;1;1;1
107;Carlos;;F;Pereira;la contaminación del río está aumentando.;Medio Ambiente;No urgente;17/03/2024;1;0;1
108;Jorge;540;F;Medellín;faltan médicos en el centro de salud.;Educación;No urgente;16/07/2024;1;1;0
109;Valentina;440;;Cúcuta;faltan médicos en el centro de salud.;Educación;No urgente;01/08/2024;0;0;1
110;Juan;270;M;Cúcuta;faltan médicos en el centro de salud.;Salud;Urgente;12/01/2023;1;0;0
111;Juan;740;Otro;Pereira;las basuras no se recogen a tiempo.;Seguridad;Urgente;03/12/2023;1;0;0
112;Juan;650;Otro;Pereira;hay problemas con la recolección de basura.;Salud;Urgente;08/04/2023;1;0;1
113;Valentina;320;F;Barranquilla;;Educación;No urgente;02/01/2023;0;0;1
114;Carlos;190;Otro;Medellín;queremos más presencia policial.;Seguridad;Urgente;05/04/2023;0;1;1
115;Camilo;250;Otro;Bogotá;hay problemas con la recolección de basura.;Salud;Urgente;01/04/2024;1;1;1
116;Jorge;360;Otro;Bogotá;no tenemos centros culturales ni bibliotecas.;Seguridad;No urgente;15/02/2024;0;1;0
117;Laura;550;F;Cali;falta agua potable en varias casas.;Medio Ambiente;Urgente;09/09/2023;0;1;1
118;Jorge;620;F;Cartagena;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;Urgente;01/04/2023;0;1;1
119;María;430;F;Bucaramanga;las basuras no se recogen a tiempo.;Educación;No urgente;29/01/2023;1;0;1
120;Pedro;540;Otro;Santa Marta;no tenemos centros culturales ni bibliotecas.;Educación;No urgente;21/09/2023;1;1;0
121;Carlos;;F;Cali;faltan médicos en el centro de salud.;Seguridad;Urgente;10/03/2024;1;0;0
122;María;650;M;Cartagena;faltan médicos en el centro de salud.;Medio Ambiente;No urgente;18/07/2023;0;0;1
123;Sofía;660;;Cartagena;las basuras no se recogen a tiempo.;Medio Ambiente;Urgente;02/07/2024;1;1;1
124;Ana;310;Otro;Barranquilla;queremos más presencia policial.;Seguridad;No urgente;10/06/2024;1;1;0
125;Pedro;470;M;Medellín;necesitamos más acceso a internet en la zona.;Medio Ambiente;No urgente;09/09/2024;1;0;0
126;Juan;610;Otro;Pereira;hay problemas con la recolección de basura.;Educación;No urgente;04/06/2023;1;0;0
127;Camilo;320;Otro;Bucaramanga;la contaminación del río está aumentando.;Seguridad;Urgente;20/06/2023;1;0;0
128;Laura;460;M;Pereira;las basuras no se recogen a tiempo.;Educación;Urgente;22/04/2024;0;1;1
129;Valentina;660;Otro;Pereira;necesitamos más acceso a internet en la zona.;Educación;No urgente;09/08/2023;1;0;1
130;Valentina;170;M;Bogotá;;Seguridad;Urgente;02/05/2024;0;0;0
131;Juan;300;F;Santa Marta;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;15/07/2024;1;0;0
132;Valentina;650;Otro;Bucaramanga;las basuras no se recogen a tiempo.;Salud;Urgente;21/01/2024;1;0;0
133;Carlos;150;Otro;Bucaramanga;faltan médicos en el centro de salud.;Seguridad;Urgente;06/10/2023;1;0;1
134;Camilo;710;F;Pereira;la contaminación del río está aumentando.;Medio Ambiente;Urgente;24/12/2023;0;0;0
135;Carlos;270;;Bogotá;las basuras no se recogen a tiempo.;Educación;Urgente;09/03/2023;1;0;0
136;Jorge;360;M;Bogotá;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;Urgente;08/01/2024;0;1;0
137;Sofía;180;Otro;Cartagena;la contaminación del río está aumentando.;Salud;Urgente;16/04/2024;0;1;0
138;Carlos;280;M;Cúcuta;no tenemos centros culturales ni bibliotecas.;Salud;Urgente;03/08/2023;1;0;1
139;Carlos;550;M;Medellín;las basuras no se recogen a tiempo.;Salud;No urgente;28/05/2024;1;1;1
140;Pedro;570;Otro;Pereira;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;Urgente;05/11/2023;1;0;1
141;Juan;730;Otro;Bucaramanga;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;Urgente;17/03/2024;1;0;0
142;Jorge;270;M;Cúcuta;las basuras no se recogen a tiempo.;Educación;No urgente;21/09/2023;1;1;0
143;Valentina;600;M;Manizales;no hay suficientes escuelas públicas.;Educación;Urgente;10/04/2024;0;1;0
144;Laura;710;F;Medellín;falta agua potable en varias casas.;Seguridad;No urgente;27/11/2023;1;0;1
145;Valentina;;Otro;Pereira;la contaminación del río está aumentando.;Salud;Urgente;11/08/2024;0;1;0
146;Jorge;350;M;Santa Marta;queremos más presencia policial.;Medio Ambiente;No urgente;04/02/2024;0;0;0
147;Valentina;430;F;Barranquilla;no hay suficientes escuelas públicas.;Salud;No urgente;25/07/2024;1;1;1
148;Ana;160;Otro;Cartagena;la contaminación del río está aumentando.;Salud;No urgente;20/06/2024;1;1;1
149;Ana;510;F;Cúcuta;falta agua potable en varias casas.;Medio Ambiente;No urgente;15/02/2023;1;1;0
150;María;550;F;Cúcuta;no tenemos centros culturales ni bibliotecas.;Seguridad;Urgente;02/12/2023;1;1;0
151;Pedro;600;M;Santa Marta;la contaminación del río está aumentando.;Seguridad;Urgente;12/06/2023;0;1;1
152;Sofía;520;M;Manizales;falta agua potable en varias casas.;Salud;No urgente;26/06/2023;1;1;0
153;Laura;;M;Bogotá;las calles están muy oscuras y peligrosas.;Medio Ambiente;No urgente;14/02/2024;1;1;0
154;María;790;M;Barranquilla;la contaminación del río está aumentando.;Medio Ambiente;Urgente;03/02/2023;0;1;0
155;Sofía;400;M;Cúcuta;falta agua potable en varias casas.;Medio Ambiente;No urgente;18/06/2024;1;0;1
156;Ana;640;F;Cali;no tenemos centros culturales ni bibliotecas.;Seguridad;Urgente;11/04/2023;0;0;1
157;Camilo;370;Otro;Cartagena;falta agua potable en varias casas.;Educación;No urgente;08/02/2023;0;1;0
158;Juan;400;F;Bogotá;no hay suficientes escuelas públicas.;Medio Ambiente;Urgente;08/12/2023;0;1;0
159;Laura;470;F;Santa Marta;falta agua potable en varias casas.;Seguridad;No urgente;09/11/2024;0;0;1
160;Carlos;180;F;Barranquilla;no hay suficientes escuelas públicas.;Seguridad;Urgente;19/04/2023;0;0;1
161;Laura;490;Otro;Cali;la contaminación del río está aumentando.;Educación;No urgente;09/07/2023;0;0;0
162;Carlos;660;M;Manizales;;Seguridad;Urgente;14/02/2024;0;0;0
163;Juan;790;F;Bucaramanga;hay problemas con la recolección de basura.;Salud;No urgente;14/09/2023;1;0;0
164;Juan;210;Otro;Pereira;las basuras no se recogen a tiempo.;Salud;Urgente;18/01/2024;1;0;0
165;Sofía;390;F;Bogotá;faltan médicos en el centro de salud.;Seguridad;No urgente;05/02/2024;0;0;0
166;Camilo;790;;Manizales;no tenemos centros culturales ni bibliotecas.;Seguridad;Urgente;24/01/2023;1;0;0
167;Jorge;460;;Barranquilla;las calles están muy oscuras y peligrosas.;Medio Ambiente;Urgente;03/06/2023;0;0;1
168;Valentina;410;Otro;Bogotá;las calles están muy oscuras y peligrosas.;Seguridad;No urgente;25/05/2023;0;1;1
169;María;250;Otro;Cali;faltan médicos en el centro de salud.;Educación;No urgente;08/12/2023;0;1;0
170;Ana;210;Otro;Pereira;las basuras no se recogen a tiempo.;Salud;No urgente;04/05/2024;0;1;1
171;Carlos;180;F;Bucaramanga;las basuras no se recogen a tiempo.;Seguridad;Urgente;11/05/2023;0;0;1
172;Carlos;160;Otro;Bogotá;no hay suficientes escuelas públicas.;Seguridad;No urgente;02/08/2024;0;1;0
173;Ana;780;Otro;Barranquilla;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;No urgente;19/11/2024;1;1;1
174;Jorge;700;F;Cúcuta;hay problemas con la recolección de basura.;Medio Ambiente;No urgente;23/04/2023;0;0;0
175;Laura;170;Otro;Cúcuta;queremos más presencia policial.;Educación;No urgente;09/04/2023;1;0;0
176;Ana;540;M;Manizales;falta agua potable en varias casas.;Salud;Urgente;15/07/2024;1;0;0
177;Laura;;Otro;Santa Marta;las basuras no se recogen a tiempo.;Seguridad;Urgente;07/06/2023;0;0;0
178;Camilo;450;M;Cali;queremos más presencia policial.;Salud;Urgente;17/03/2023;1;1;0
179;Carlos;720;F;Bucaramanga;necesitamos más acceso a internet en la zona.;Medio Ambiente;Urgente;13/09/2023;0;1;0
180;Carlos;580;F;Bogotá;la contaminación del río está aumentando.;Seguridad;No urgente;03/10/2023;0;1;1
181;Laura;300;F;Santa Marta;;Medio Ambiente;No urgente;28/04/2024;0;1;1
182;Carlos;420;Otro;Bogotá;la contaminación del río está aumentando.;Educación;Urgente;29/09/2024;1;0;1
183;Valentina;780;F;Medellín;la contaminación del río está aumentando.;Seguridad;No urgente;12/02/2024;0;0;1
184;Juan;390;F;Cali;las basuras no se recogen a tiempo.;Salud;Urgente;05/03/2024;1;1;0
185;Camilo;330;M;Cartagena;las basuras no se recogen a tiempo.;Educación;No urgente;13/11/2024;0;1;0
186;Juan;430;M;Cartagena;necesitamos más acceso a internet en la zona.;Educación;No urgente;25/05/2023;0;0;0
187;Pedro;;Otro;Cartagena;queremos más presencia policial.;Medio Ambiente;No urgente;10/07/2024;1;0;1
188;Jorge;760;Otro;Santa Marta;no tenemos centros culturales ni bibliotecas.;Seguridad;Urgente;26/11/2023;1;0;0
189;Jorge;740;F;Barranquilla;faltan médicos en el centro de salud.;Educación;No urgente;06/11/2024;1;0;1
190;Sofía;800;F;Medellín;necesitamos más acceso a internet en la zona.;Seguridad;Urgente;27/07/2024;0;1;0
191;María;170;M;Cali;hay problemas con la recolección de basura.;Medio Ambiente;No urgente;08/03/2024;0;0;1
192;Laura;150;M;Cúcuta;faltan médicos en el centro de salud.;Educación;No urgente;31/05/2024;1;0;0
193;Camilo;610;F;Cartagena;necesitamos más acceso a internet en la zona.;Medio Ambiente;Urgente;18/05/2023;0;1;0
194;Valentina;630;F;Cúcuta;falta agua potable en varias casas.;Educación;No urgente;14/06/2023;1;0;0
195;Pedro;340;Otro;Barranquilla;las calles están muy oscuras y peligrosas.;Medio Ambiente;No urgente;29/05/2023;0;0;1
196;Pedro;190;Otro;Manizales;hay problemas con la recolección de basura.;Educación;No urgente;30/10/2023;1;1;0
197;Valentina;520;F;Cali;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;10/06/2024;1;1;0
198;María;400;F;Pereira;las basuras no se recogen a tiempo.;Educación;Urgente;24/11/2023;0;1;1
199;María;730;Otro;Barranquilla;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;No urgente;03/08/2023;0;0;1
200;Carlos;;M;Medellín;la contaminación del río está aumentando.;Educación;Urgente;19/01/2024;0;0;0
201;Ana;;F;Santa Marta;faltan médicos en el centro de salud.;Medio Ambiente;No urgente;16/09/2023;0;1;0
202;Jorge;600;Otro;Cartagena;faltan médicos en el centro de salud.;Salud;Urgente;30/06/2024;1;1;1
203;Ana;780;Otro;Cali;no hay suficientes escuelas públicas.;Seguridad;No urgente;11/01/2023;1;0;1
204;Pedro;270;M;Pereira;necesitamos más acceso a internet en la zona.;Medio Ambiente;No urgente;20/08/2024;1;0;1
205;Juan;770;M;Bucaramanga;no tenemos centros culturales ni bibliotecas.;Educación;No urgente;11/05/2024;1;1;0
206;Pedro;270;F;Bucaramanga;;Medio Ambiente;No urgente;07/04/2023;0;0;0
207;Sofía;650;M;Cali;queremos más presencia policial.;Educación;Urgente;30/11/2024;1;0;1
208;Camilo;;F;Santa Marta;la contaminación del río está aumentando.;Seguridad;No urgente;19/06/2023;0;1;1
209;Pedro;150;M;Bogotá;necesitamos más acceso a internet en la zona.;Medio Ambiente;Urgente;06/11/2023;1;0;0
210;Pedro;390;F;Cali;;Educación;No urgente;12/04/2024;0;0;1
211;Ana;170;F;Santa Marta;las calles están muy oscuras y peligrosas.;Seguridad;Urgente;12/03/2023;0;0;1
212;Carlos;640;Otro;Barranquilla;hay problemas con la recolección de basura.;Medio Ambiente;Urgente;06/06/2023;1;1;1
213;Ana;180;F;Bogotá;falta agua potable en varias casas.;Educación;Urgente;24/12/2023;1;0;0
214;Jorge;600;M;Santa Marta;la contaminación del río está aumentando.;Seguridad;No urgente;18/02/2024;1;0;0
215;María;280;F;Medellín;no hay suficientes escuelas públicas.;Salud;No urgente;25/07/2023;1;0;0
216;Camilo;300;M;Bogotá;necesitamos más acceso a internet en la zona.;Seguridad;Urgente;10/10/2023;0;0;0
217;Laura;160;M;Bucaramanga;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;24/01/2024;0;1;0
218;Camilo;750;Otro;Cúcuta;falta agua potable en varias casas.;Seguridad;No urgente;25/01/2023;0;0;1
219;María;220;F;Cartagena;las calles están muy oscuras y peligrosas.;Salud;No urgente;13/08/2023;0;0;1
220;Carlos;360;Otro;Cartagena;queremos más presencia policial.;Seguridad;Urgente;03/06/2024;1;0;1
221;Juan;490;Otro;Manizales;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;16/05/2024;1;1;1
222;Valentina;430;M;Manizales;no tenemos centros culturales ni bibliotecas.;Educación;No urgente;29/10/2023;1;1;0
223;Camilo;510;Otro;Bogotá;la contaminación del río está aumentando.;Medio Ambiente;No urgente;02/07/2024;1;0;0
224;María;210;M;Cali;no hay suficientes escuelas públicas.;Medio Ambiente;No urgente;29/03/2023;0;1;0
225;Ana;720;F;Pereira;falta agua potable en varias casas.;Seguridad;Urgente;25/09/2023;1;0;1
226;María;;Otro;Pereira;queremos más presencia policial.;Educación;Urgente;03/08/2024;1;0;1
227;Jorge;340;Otro;Bucaramanga;no tenemos centros culturales ni bibliotecas.;Salud;Urgente;06/02/2024;0;0;0
228;Sofía;490;F;Barranquilla;queremos más presencia policial.;Seguridad;Urgente;26/09/2023;0;1;0
229;Camilo;520;F;Medellín;;Medio Ambiente;Urgente;17/11/2024;0;1;1
230;Laura;190;M;Cartagena;queremos más presencia policial.;Educación;No urgente;06/01/2024;0;0;0
231;Camilo;560;M;Bogotá;faltan médicos en el centro de salud.;Educación;No urgente;21/02/2024;1;1;0
232;Valentina;170;Otro;Manizales;;Seguridad;No urgente;04/11/2024;0;1;1
233;Valentina;610;Otro;Cúcuta;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;Urgente;04/08/2023;1;0;0
234;Jorge;650;F;Pereira;queremos más presencia policial.;Educación;No urgente;26/04/2024;0;0;0
235;Sofía;710;Otro;Bucaramanga;necesitamos más acceso a internet en la zona.;Seguridad;No urgente;17/08/2023;1;0;1
236;Ana;350;M;Bogotá;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;No urgente;15/02/2023;0;0;1
237;Juan;340;F;Cartagena;necesitamos más acceso a internet en la zona.;Seguridad;No urgente;23/10/2023;1;0;0
238;Valentina;780;F;Bogotá;la contaminación del río está aumentando.;Seguridad;No urgente;17/11/2023;1;1;1
239;Sofía;160;Otro;Cartagena;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;13/09/2023;1;1;0
240;Sofía;;F;Barranquilla;falta agua potable en varias casas.;Salud;Urgente;09/04/2023;1;1;1
241;María;160;M;Barranquilla;no hay suficientes escuelas públicas.;Medio Ambiente;No urgente;16/07/2024;1;0;1
242;Carlos;580;Otro;Cúcuta;;Seguridad;No urgente;22/11/2024;0;0;0
243;Laura;760;F;Cúcuta;faltan médicos en el centro de salud.;Medio Ambiente;No urgente;11/06/2024;0;0;0
244;Carlos;430;M;Bogotá;queremos más presencia policial.;Medio Ambiente;No urgente;17/05/2024;1;1;0
245;Sofía;;F;Bucaramanga;no hay suficientes escuelas públicas.;Salud;Urgente;04/03/2024;1;1;1
246;Pedro;350;Otro;Cali;falta agua potable en varias casas.;Seguridad;Urgente;12/02/2024;0;0;0
247;Laura;400;M;Bogotá;queremos más presencia policial.;Medio Ambiente;No urgente;30/01/2023;0;0;0
248;Valentina;220;M;Cartagena;;Salud;No urgente;21/07/2024;0;1;1
249;María;360;F;Cali;las calles están muy oscuras y peligrosas.;Medio Ambiente;No urgente;28/02/2024;1;1;0
