Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
bogota,queremos mas presencia policial,Seguridad,3,2,2023 08 27
manizales,faltan medicos en el centro de salud,Salud,1,1,2024 07 13
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 04 26
medellin,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 08 02
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 02 22
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 02 09
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 10 07
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 04 22
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 08 12
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 06 12
pereira,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 12 03
bucaramanga,no hay suficientes escuelas publicas,Educación,2,3,2023 10 24
bogota,faltan medicos en el centro de salud,Salud,1,1,2024 11 13
cucuta,queremos mas presencia policial,Seguridad,3,3,2023 04 22
medellin,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 10 24
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 08 28
pereira,queremos mas presencia policial,Seguridad,3,4,2023 05 23
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 04 22
bogota,queremos mas presencia policial,Seguridad,3,2,2024 11 15
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 06 19
manizales,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 04 03
medellin,no hay suficientes escuelas publicas,Educación,2,3,2023 07 26
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 01 03
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 02 22
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 09 23
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 10 07
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 11 25
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 04 14
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 05 23
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 01 25
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 11 05
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 03 15
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 07 12
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 05 29
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 10 09
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 09 03
cali,faltan medicos en el centro de salud,Salud,1,1,2024 05 05
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 04 21
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 06 04
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 07 27
cali,faltan medicos en el centro de salud,Salud,1,1,2023 10 24
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 10 30
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 07 12
medellin,faltan medicos en el centro de salud,Salud,1,1,2024 02 25
medellin,queremos mas presencia policial,Seguridad,3,1,2024 11 09
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 07 24
cartagena,queremos mas presencia policial,Seguridad,3,4,2024 07 10
medellin,falta agua potable en varias casas,Salud,1,4,2023 08 25
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 01 23
medellin,faltan medicos en el centro de salud,Salud,1,2,2024 01 17
cartagena,queremos mas presencia policial,Seguridad,3,4,2024 08 17
cartagena,faltan medicos en el centro de salud,Salud,1,4,2024 09 25
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 03 03
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 05 23
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 02 23
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 03 16
medellin,faltan medicos en el centro de salud,Salud,1,3,2023 09 07
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 03 17
medellin,faltan medicos en el centro de salud,Salud,1,1,2024 07 16
cucuta,faltan medicos en el centro de salud,Salud,1,2,2024 08 01
cucuta,faltan medicos en el centro de salud,Salud,1,4,2023 01 12
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 12 03
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 04 08
medellin,queremos mas presencia policial,Seguridad,3,3,2023 04 05
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 04 01
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 02 15
cali,falta agua potable en varias casas,Salud,1,3,2023 09 09
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 04 01
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 01 29
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 09 21
cali,faltan medicos en el centro de salud,Salud,1,4,2024 03 10
cartagena,faltan medicos en el centro de salud,Salud,1,2,2023 07 18
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 07 02
barranquilla,queremos mas presencia policial,Seguridad,3,1,2024 06 10
medellin,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 09 09
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 06 04
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 06 20
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 04 22
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 08 09
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 07 15
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 01 21
bucaramanga,faltan medicos en el centro de salud,Salud,1,4,2023 10 06
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 12 24
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 03 09
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 01 08
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 04 16
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 08 03
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 05 28
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 05
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 03 17
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 09 21
manizales,no hay suficientes escuelas publicas,Educación,2,3,2024 04 10
medellin,falta agua potable en varias casas,Salud,1,2,2023 11 27
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 08 11
santa marta,queremos mas presencia policial,Seguridad,3,2,2024 02 04
barranquilla,no hay suficientes escuelas publicas,Educación,2,1,2024 07 25
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 06 20
cucuta,falta agua potable en varias casas,Salud,1,1,2023 02 15
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 12 02
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 06 12
manizales,falta agua potable en varias casas,Salud,1,1,2023 06 26
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 02 14
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 02 03
cucuta,falta agua potable en varias casas,Salud,1,2,2024 06 18
cali,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 04 11
cartagena,falta agua potable en varias casas,Salud,1,1,2023 02 08
bogota,no hay suficientes escuelas publicas,Educación,2,3,2023 12 08
santa marta,falta agua potable en varias casas,Salud,1,2,2024 11 09
barranquilla,no hay suficientes escuelas publicas,Educación,2,4,2023 04 19
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 07 09
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 09 14
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 01 18
bogota,faltan medicos en el centro de salud,Salud,1,2,2024 02 05
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 01 24
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 06 03
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 05 25
cali,faltan medicos en el centro de salud,Salud,1,1,2023 12 08
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 05 04
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 05 11
bogota,no hay suficientes escuelas publicas,Educación,2,1,2024 08 02
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 11 19
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 04 23
cucuta,queremos mas presencia policial,Seguridad,3,2,2023 04 09
manizales,falta agua potable en varias casas,Salud,1,4,2024 07 15
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 06 07
cali,queremos mas presencia policial,Seguridad,3,3,2023 03 17
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 09 13
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 10 03
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 09 29
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 02 12
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 03 05
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 11 13
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 05 25
cartagena,queremos mas presencia policial,Seguridad,3,2,2024 07 10
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 26
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2024 11 06
medellin,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 07 27
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 03 08
cucuta,faltan medicos en el centro de salud,Salud,1,2,2024 05 31
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 05 18
cucuta,falta agua potable en varias casas,Salud,1,2,2023 06 14
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 05 29
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 10 30
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 06 10
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 11 24
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 08 03
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 01 19
santa marta,faltan medicos en el centro de salud,Salud,1,1,2023 09 16
cartagena,faltan medicos en el centro de salud,Salud,1,3,2024 06 30
cali,no hay suficientes escuelas publicas,Educación,2,2,2023 01 11
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 08 20
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 05 11
cali,queremos mas presencia policial,Seguridad,3,4,2024 11 30
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 06 19
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 11 06
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 03 12
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 06 06
bogota,falta agua potable en varias casas,Salud,1,4,2023 12 24
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 02 18
medellin,no hay suficientes escuelas publicas,Educación,2,2,2023 07 25
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 10 10
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 01 24
cucuta,falta agua potable en varias casas,Salud,1,2,2023 01 25
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 08 13
cartagena,queremos mas presencia policial,Seguridad,3,4,2024 06 03
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 05 16
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 10 29
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 07 02
cali,no hay suficientes escuelas publicas,Educación,2,1,2023 03 29
pereira,falta agua potable en varias casas,Salud,1,4,2023 09 25
pereira,queremos mas presencia policial,Seguridad,3,4,2024 08 03
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 02 06
barranquilla,queremos mas presencia policial,Seguridad,3,3,2023 09 26
cartagena,queremos mas presencia policial,Seguridad,3,2,2024 01 06
bogota,faltan medicos en el centro de salud,Salud,1,1,2024 02 21
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 08 04
pereira,queremos mas presencia policial,Seguridad,3,2,2024 04 26
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 08 17
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 02 15
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 10 23
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 11 17
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 09 13
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 04 09
barranquilla,no hay suficientes escuelas publicas,Educación,2,2,2024 07 16
cucuta,faltan medicos en el centro de salud,Salud,1,2,2024 06 11
bogota,queremos mas presencia policial,Seguridad,3,1,2024 05 17
bucaramanga,no hay suficientes escuelas publicas,Educación,2,3,2024 03 04
cali,falta agua potable en varias casas,Salud,1,4,2024 02 12
bogota,queremos mas presencia policial,Seguridad,3,2,2023 01 30
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 02 28
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 04 03
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 09 01
,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 08
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 07 27
bogota,no hay suficientes escuelas publicas,Educación,2,1,2023 11 18
cartagena,faltan medicos en el centro de salud,Salud,1,1,2023 05 09
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 01 18
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 01 03
pereira,queremos mas presencia policial,Seguridad,3,1,2023 11 26
cartagena,faltan medicos en el centro de salud,Salud,1,4,2024 04 19
santa marta,faltan medicos en el centro de salud,Salud,1,3,2024 05 08
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 06 02
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 06 30
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 09 21
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 04 21
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 08 30
cartagena,faltan medicos en el centro de salud,Salud,1,3,2024 05 06
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 12 01
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 12 31
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 02 24
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 05 07
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 04 09
medellin,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 10 05
pereira,no hay suficientes escuelas publicas,Educación,2,1,2024 09 24
cucuta,queremos mas presencia policial,Seguridad,3,2,2023 07 08
cucuta,faltan medicos en el centro de salud,Salud,1,3,2023 08 01
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 02 26
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 07 28
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 03 21
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 20
bucaramanga,no hay suficientes escuelas publicas,Educación,2,1,2023 06 14
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 11 28
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 02 04
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 01 30
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 11 14
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 04 24
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 08 14
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 05 20
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 08 15
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 03 07
manizales,falta agua potable en varias casas,Salud,1,2,2024 11 02
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 08 19
bogota,falta agua potable en varias casas,Salud,1,2,2023 07 24
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 01 09
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 04 29
cartagena,queremos mas presencia policial,Seguridad,3,1,2024 01 13
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 07 26
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 02 07
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 01 04
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 03 17
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 09 19
cali,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 02 16
manizales,faltan medicos en el centro de salud,Salud,1,1,2024 07 23
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 03 25
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 07 25
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 03 27
cucuta,queremos mas presencia policial,Seguridad,3,3,2023 09 01
santa marta,queremos mas presencia policial,Seguridad,3,3,2023 06 11
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 09 22
barranquilla,queremos mas presencia policial,Seguridad,3,2,2024 08 07
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 10 21
santa marta,faltan medicos en el centro de salud,Salud,1,2,2023 04 28
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 04 08
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 10 23
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 06 21
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 07 05
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 01 14
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 09 25
cali,falta agua potable en varias casas,Salud,1,4,2023 04 09
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 02 26
manizales,queremos mas presencia policial,Seguridad,3,1,2023 10 15
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 08 26
bucaramanga,queremos mas presencia policial,Seguridad,3,2,2023 07 28
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 04 02
bogota,faltan medicos en el centro de salud,Salud,1,3,2023 12 10
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2024 01 29
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 03 26
cartagena,queremos mas presencia policial,Seguridad,3,2,2024 05 13
cali,queremos mas presencia policial,Seguridad,3,2,2024 06 14
manizales,no hay suficientes escuelas publicas,Educación,2,3,2024 07 21
pereira,no hay suficientes escuelas publicas,Educación,2,3,2023 04 09
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 09 28
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 03 04
cartagena,faltan medicos en el centro de salud,Salud,1,4,2023 05 02
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 08 20
cucuta,no hay suficientes escuelas publicas,Educación,2,1,2024 10 15
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 11 03
medellin,no hay suficientes escuelas publicas,Educación,2,1,2023 12 14
cucuta,queremos mas presencia policial,Seguridad,3,1,2023 09 30
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 10 27
cucuta,falta agua potable en varias casas,Salud,1,1,2023 10 09
cali,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 09 23
,no hay suficientes escuelas publicas,Educación,2,3,2023 07 23
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 11 04
medellin,queremos mas presencia policial,Seguridad,3,4,2023 08 28
barranquilla,falta agua potable en varias casas,Salud,1,4,2024 05 06
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 08 26
bogota,queremos mas presencia policial,Seguridad,3,4,2024 05 18
cucuta,faltan medicos en el centro de salud,Salud,1,2,2024 01 01
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 06 21
cali,queremos mas presencia policial,Seguridad,3,3,2023 04 06
barranquilla,falta agua potable en varias casas,Salud,1,2,2024 07 17
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 04 22
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 10 07
bogota,falta agua potable en varias casas,Salud,1,2,2024 08 19
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 12 23
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 12 05
,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 09 22
pereira,no hay suficientes escuelas publicas,Educación,2,1,2024 11 05
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 01 12
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 05 19
bucaramanga,falta agua potable en varias casas,Salud,1,2,2024 01 07
bogota,queremos mas presencia policial,Seguridad,3,1,2024 09 08
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 06 07
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 05 28
manizales,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 10 24
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 06 02
cartagena,faltan medicos en el centro de salud,Salud,1,1,2023 01 02
bogota,falta agua potable en varias casas,Salud,1,2,2023 01 18
medellin,queremos mas presencia policial,Seguridad,3,4,2024 03 30
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 01 18
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 12 01
manizales,queremos mas presencia policial,Seguridad,3,4,2024 07 19
cartagena,no hay suficientes escuelas publicas,Educación,2,1,2024 09 03
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2023 10 02
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 04 07
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 08 16
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 04 18
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 06 19
barranquilla,faltan medicos en el centro de salud,Salud,1,3,2023 11 06
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 05 09
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 10 19
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 12 04
bogota,no hay suficientes escuelas publicas,Educación,2,3,2023 01 08
medellin,queremos mas presencia policial,Seguridad,3,4,2023 06 02
bucaramanga,falta agua potable en varias casas,Salud,1,3,2023 04 25
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 12 06
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 09 07
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 12 05
pereira,no hay suficientes escuelas publicas,Educación,2,3,2024 08 17
bucaramanga,queremos mas presencia policial,Seguridad,3,4,2023 02 11
